Dia,num_protocolo,nom_valor,nom_agente
21,14440005420714,0,JUNIOR
21,17730005419108,0,WAGNER
21,24930005417092,0,AVOLO
21,32510005423525,0,ROBERTO
21,48260005414340,0,AVOLO
21,54320005417736,0,ROBERTO
21,58280005419620,0,AVOLO
21,58560005414492,0,GRANJA
21,77530005423260,0,JUNIOR
21,07390005416425,2,ALESSANDRO
21,27690005419243,3,ISABELA
21,06950005422728,4,ROBERTO
21,02330005420238,5,LAYS
21,14610005416569,6,VALERIO
21,30200005419288,6,AVOLO
21,07850005416436,7,VALERIO
21,14630005422796,7,ROBERTO
21,78710005415247,7,AVOLO
21,79960005415280,7,JORGE
21,95230005418778,7,LAYS
